season,date,teams,result
1995-1996,06.04.1996,Milan-Lazio,0-0
1995-1996,06.04.1996,Parma-Napoli,1-0
1995-1996,06.04.1996,Roma-Udinese,2-1
1995-1996,06.04.1996,Sampdoria-Bari,2-0
1995-1996,06.04.1996,Torino-Juventus,1-2
1995-1996,06.04.1996,Vicenza-Atalanta,1-0
1995-1996,14.04.1996,Atalanta-Cagliari,3-0
1995-1996,14.04.1996,Bari-Cremonese,2-1
1995-1996,14.04.1996,Inter-Padova,8-2
1995-1996,13.04.1996,Juventus-Sampdoria,0-3
1995-1996,14.04.1996,Lazio-Parma,2-1
1995-1996,14.04.1996,Napoli-Milan,0-1
1995-1996,14.04.1996,Piacenza-Torino,1-0
1995-1996,14.04.1996,Udinese-Fiorentina,1-0
1995-1996,14.04.1996,Vicenza-Roma,2-1
1995-1996,21.04.1996,Cagliari-Vicenza,2-0
1995-1996,21.04.1996,Cremonese-Piacenza,0-0
1995-1996,21.04.1996,Fiorentina-Atalanta,1-0
1995-1996,20.04.1996,Inter-Juventus,1-2
1995-1996,21.04.1996,Padova-Udinese,2-3
1995-1996,21.04.1996,Parma-Bari,3-1
1995-1996,21.04.1996,Roma-Napoli,4-1
1995-1996,21.04.1996,Sampdoria-Lazio,3-3
1995-1996,21.04.1996,Torino-Milan,1-1
1995-1996,28.04.1996,Atalanta-Lazio,1-3
1995-1996,28.04.1996,Bari-Udinese,4-2
1995-1996,28.04.1996,Cagliari-Inter,0-0
1995-1996,28.04.1996,Milan-Fiorentina,3-1
1995-1996,28.04.1996,Napoli-Sampdoria,1-0
1995-1996,28.04.1996,Piacenza-Padova,4-0
1995-1996,28.04.1996,Roma-Juventus,2-2
1995-1996,28.04.1996,Torino-Cremonese,1-0
1995-1996,28.04.1996,Vicenza-Parma,0-1
1995-1996,05.05.1996,Cremonese-Vicenza,1-1
1995-1996,05.05.1996,Fiorentina-Roma,1-4
1995-1996,05.05.1996,Inter-Bari,3-0
1995-1996,05.05.1996,Juventus-Atalanta,1-0
1995-1996,05.05.1996,Lazio-Napoli,1-0
1995-1996,05.05.1996,Padova-Cagliari,2-1
1995-1996,05.05.1996,Parma-Torino,1-0
1995-1996,05.05.1996,Sampdoria-Milan,3-0
1995-1996,05.05.1996,Udinese-Piacenza,0-0
1995-1996,12.05.1996,Atalanta-Padova,3-0
1995-1996,12.05.1996,Bari-Juventus,2-2
1995-1996,12.05.1996,Cagliari-Parma,2-0
1995-1996,12.05.1996,Milan-Cremonese,7-1
1995-1996,12.05.1996,Napoli-Udinese,2-1
1995-1996,12.05.1996,Piacenza-Fiorentina,0-1
1995-1996,12.05.1996,Roma-Inter,1-0
1995-1996,12.05.1996,Torino-Lazio,0-2
1995-1996,12.05.1996,Vicenza-Sampdoria,2-2
1996-1997,07.09.1996,Bologna-Lazio,1-0
1996-1997,08.09.1996,Cagliari-Atalanta,2-0
1996-1997,08.09.1996,Fiorentina-Vicenza,2-4
1996-1997,08.09.1996,Milan-Verona,4-1
1996-1997,07.09.1996,Parma-Napoli,3-0
1996-1997,08.09.1996,Perugia-Sampdoria,1-0
1996-1997,08.09.1996,Reggiana-Juventus,1-1
1996-1997,07.09.1996,Roma-Piacenza,3-1
1996-1997,07.09.1996,Udinese-Inter,0-1
1996-1997,15.09.1996,Atalanta-Fiorentina,2-2
1996-1997,15.09.1996,Inter-Perugia,1-0
1996-1997,15.09.1996,Juventus-Cagliari,2-1
1996-1997,15.09.1996,Lazio-Udinese,0-1
1996-1997,15.09.1996,Napoli-Reggiana,1-0
1996-1997,15.09.1996,Piacenza-Parma,0-0
1996-1997,15.09.1996,Sampdoria-Milan,2-1
1996-1997,15.09.1996,Verona-Bologna,0-2
1996-1997,15.09.1996,Vicenza-Roma,0-2
1996-1997,22.09.1996,Bologna-Milan,1-2
1996-1997,22.09.1996,Cagliari-Udinese,1-2
1996-1997,22.09.1996,Fiorentina-Verona,2-0
1996-1997,21.09.1996,Inter-Lazio,1-1
1996-1997,22.09.1996,Napoli-Piacenza,1-1
1996-1997,21.09.1996,Parma-Reggiana,3-2
1996-1997,22.09.1996,Perugia-Juventus,1-2
1996-1997,21.09.1996,Roma-Sampdoria,1-4
1996-1997,22.09.1996,Vicenza-Atalanta,4-1
1996-1997,29.09.1996,Atalanta-Inter,1-1
1996-1997,29.09.1996,Juventus-Fiorentina,1-0
1996-1997,29.09.1996,Lazio-Parma,2-1
1996-1997,29.09.1996,Milan-Perugia,3-0
1996-1997,29.09.1996,Piacenza-Vicenza,1-0
1996-1997,29.09.1996,Reggiana-Roma,1-1
1996-1997,29.09.1996,Sampdoria-Napoli,0-1
1996-1997,29.09.1996,Udinese-Bologna,2-2
1996-1997,29.09.1996,Verona-Cagliari,2-2
1996-1997,13.10.1996,Bologna-Sampdoria,2-1
1996-1997,13.10.1996,Cagliari-Parma,0-1
1996-1997,12.10.1996,Fiorentina-Lazio,0-0
1996-1997,12.10.1996,Inter-Piacenza,2-0
1996-1997,13.10.1996,Napoli-Udinese,1-1
1996-1997,13.10.1996,Perugia-Atalanta,3-1
1996-1997,13.10.1996,Reggiana-Verona,2-2
1996-1997,12.10.1996,Roma-Milan,3-0
1996-1997,13.10.1996,Vicenza-Juventus,2-1
1996-1997,20.10.1996,Bologna-Fiorentina,0-2
1996-1997,20.10.1996,Juventus-Inter,2-0
1996-1997,20.10.1996,Lazio-Cagliari,2-1
1996-1997,20.10.1996,Milan-Napoli,3-1
1996-1997,20.10.1996,Parma-Perugia,1-2
1996-1997,20.10.1996,Piacenza-Reggiana,3-0
1996-1997,20.10.1996,Sampdoria-Atalanta,2-0
1996-1997,20.10.1996,Udinese-Vicenza,1-1
1996-1997,20.10.1996,Verona-Roma,2-1
1996-1997,29.10.1996,Atalanta-Lazio,2-1
1996-1997,27.10.1996,Fiorentina-Milan,1-0
1996-1997,27.10.1996,Inter-Parma,3-1
1996-1997,27.10.1996,Napoli-Bologna,3-2
1996-1997,27.10.1996,Perugia-Udinese,2-1
1996-1997,27.10.1996,Piacenza-Verona,2-0
1996-1997,27.10.1996,Reggiana-Sampdoria,1-1
1996-1997,26.10.1996,Roma-Juventus,1-1
1996-1997,27.10.1996,Vicenza-Cagliari,2-0
1996-1997,03.11.1996,Bologna-Roma,3-2
1996-1997,03.11.1996,Cagliari-Perugia,2-1
1996-1997,03.11.1996,Juventus-Napoli,1-1
1996-1997,03.11.1996,Lazio-Vicenza,0-2
1996-1997,03.11.1996,Milan-Atalanta,1-1
1996-1997,03.11.1996,Parma-Fiorentina,0-0
1996-1997,03.11.1996,Sampdoria-Piacenza,3-0
1996-1997,03.11.1996,Udinese-Reggiana,2-1
1996-1997,03.11.1996,Verona-Inter,0-1
1996-1997,17.11.1996,Atalanta-Udinese,1-0
1996-1997,16.11.1996,Inter-Fiorentina,2-2
1996-1997,17.11.1996,Juventus-Milan,0-0
1996-1997,17.11.1996,Napoli-Perugia,4-2
1996-1997,17.11.1996,Piacenza-Lazio,1-3
1996-1997,17.11.1996,Reggiana-Bologna,1-3
1996-1997,17.11.1996,Roma-Cagliari,3-1
1996-1997,17.11.1996,Sampdoria-Parma,1-1
1996-1997,17.11.1996,Verona-Vicenza,2-2
1996-1997,24.11.1996,Bologna-Atalanta,3-1
1996-1997,24.11.1996,Cagliari-Napoli,1-1
1996-1997,24.11.1996,Fiorentina-Piacenza,1-1
1996-1997,24.11.1996,Lazio-Sampdoria,1-1
1996-1997,24.11.1996,Milan-Inter,1-1
1996-1997,24.11.1996,Parma-Roma,0-0
1996-1997,24.11.1996,Perugia-Verona,3-1
1996-1997,11.12.1996,Udinese-Juventus,1-4
1996-1997,24.11.1996,Vicenza-Reggiana,2-0
1996-1997,01.12.1996,Atalanta-Napoli,2-2
1996-1997,30.11.1996,Inter-Cagliari,2-2
1996-1997,01.12.1996,Juventus-Bologna,1-0
1996-1997,01.12.1996,Perugia-Vicenza,1-1
1996-1997,01.12.1996,Piacenza-Milan,3-2
1996-1997,01.12.1996,Reggiana-Lazio,0-2
1996-1997,01.12.1996,Roma-Fiorentina,3-3
1996-1997,01.12.1996,Udinese-Parma,3-1
1996-1997,01.12.1996,Verona-Sampdoria,1-1
1996-1997,08.12.1996,Bologna-Piacenza,1-1
1996-1997,08.12.1996,Cagliari-Reggiana,1-1
1996-1997,08.12.1996,Fiorentina-Perugia,4-1
1996-1997,08.12.1996,Lazio-Roma,0-0
1996-1997,08.12.1996,Milan-Udinese,2-1
1996-1997,08.12.1996,Napoli-Verona,1-0
1996-1997,08.12.1996,Parma-Atalanta,0-0
1996-1997,08.12.1996,Sampdoria-Juventus,0-1
1996-1997,08.12.1996,Vicenza-Inter,1-1
1996-1997,15.12.1996,Atalanta-Piacenza,4-0
1996-1997,15.12.1996,Cagliari-Bologna,2-2
1996-1997,15.12.1996,Inter-Sampdoria,3-4
1996-1997,15.12.1996,Juventus-Verona,3-2
1996-1997,15.12.1996,Perugia-Lazio,1-2
1996-1997,15.12.1996,Reggiana-Milan,0-3
1996-1997,15.12.1996,Roma-Napoli,1-0
1996-1997,15.12.1996,Udinese-Fiorentina,2-0
1996-1997,15.12.1996,Vicenza-Parma,1-1
1996-1997,22.12.1996,Bologna-Perugia,0-0
1996-1997,22.12.1996,Fiorentina-Cagliari,2-0
1996-1997,22.12.1996,Milan-Parma,0-1
1996-1997,22.12.1996,Napoli-Lazio,1-0
1996-1997,22.12.1996,Piacenza-Juventus,1-1
1996-1997,22.12.1996,Reggiana-Inter,1-1
1996-1997,22.12.1996,Roma-Atalanta,0-2
1996-1997,22.12.1996,Sampdoria-Vicenza,2-1
1996-1997,22.12.1996,Verona-Udinese,3-2
1996-1997,05.01.1997,Atalanta-Verona,1-0
1996-1997,05.01.1997,Cagliari-Piacenza,1-0
1996-1997,05.01.1997,Fiorentina-Napoli,3-0
1996-1997,05.01.1997,Inter-Roma,3-1
1996-1997,05.01.1997,Lazio-Milan,3-0
1996-1997,05.01.1997,Parma-Juventus,1-0
1996-1997,05.01.1997,Perugia-Reggiana,1-3
1996-1997,05.01.1997,Udinese-Sampdoria,4-5
1996-1997,05.01.1997,Vicenza-Bologna,2-0
1996-1997,12.01.1997,Bologna-Parma,0-1
1996-1997,12.01.1997,Juventus-Atalanta,0-0
1996-1997,12.01.1997,Milan-Vicenza,1-0
1996-1997,12.01.1997,Napoli-Inter,1-2
1996-1997,12.01.1997,Piacenza-Udinese,0-0
1996-1997,12.01.1997,Reggiana-Fiorentina,0-0
1996-1997,12.01.1997,Roma-Perugia,4-1
1996-1997,12.01.1997,Sampdoria-Cagliari,4-1
1996-1997,12.01.1997,Verona-Lazio,1-1
1996-1997,19.01.1997,Atalanta-Reggiana,1-0
1996-1997,19.01.1997,Cagliari-Milan,1-1
1996-1997,19.01.1997,Fiorentina-Sampdoria,1-1
1996-1997,19.01.1997,Inter-Bologna,0-2
1996-1997,19.01.1997,Lazio-Juventus,0-2
1996-1997,19.01.1997,Parma-Verona,1-0
1996-1997,19.01.1997,Perugia-Piacenza,1-1
1996-1997,19.01.1997,Udinese-Roma,1-0
1996-1997,19.01.1997,Vicenza-Napoli,2-2
1996-1997,26.01.1997,Atalanta-Cagliari,4-1
1996-1997,26.01.1997,Inter-Udinese,1-1
1996-1997,26.01.1997,Juventus-Reggiana,3-1
1996-1997,26.01.1997,Lazio-Bologna,1-2
1996-1997,26.01.1997,Napoli-Parma,2-1
1996-1997,26.01.1997,Piacenza-Roma,0-0
1996-1997,26.01.1997,Sampdoria-Perugia,5-2
1996-1997,26.01.1997,Verona-Milan,3-1
1996-1997,26.01.1997,Vicenza-Fiorentina,3-2
1996-1997,02.02.1997,Bologna-Verona,6-1
1996-1997,02.02.1997,Cagliari-Juventus,0-0
1996-1997,02.02.1997,Fiorentina-Atalanta,0-0
1996-1997,02.02.1997,Milan-Sampdoria,2-3
1996-1997,02.02.1997,Parma-Piacenza,1-0
1996-1997,02.02.1997,Perugia-Inter,0-0
1996-1997,02.02.1997,Reggiana-Napoli,1-1
1996-1997,02.02.1997,Roma-Vicenza,2-0
1996-1997,02.02.1997,Udinese-Lazio,2-3
1996-1997,16.02.1997,Atalanta-Vicenza,3-1
1996-1997,16.02.1997,Juventus-Perugia,2-1
1996-1997,16.02.1997,Lazio-Inter,2-2
1996-1997,16.02.1997,Milan-Bologna,2-0
1996-1997,16.02.1997,Piacenza-Napoli,1-0
1996-1997,16.02.1997,Reggiana-Parma,0-0
1996-1997,16.02.1997,Sampdoria-Roma,1-2
1996-1997,16.02.1997,Udinese-Cagliari,1-0
1996-1997,16.02.1997,Verona-Fiorentina,2-1
1996-1997,23.02.1997,Bologna-Udinese,0-0
1996-1997,23.02.1997,Cagliari-Verona,3-2
1996-1997,23.02.1997,Fiorentina-Juventus,1-1
1996-1997,23.02.1997,Inter-Atalanta,2-0
1996-1997,23.02.1997,Napoli-Sampdoria,1-1
1996-1997,23.02.1997,Parma-Lazio,2-0
1996-1997,23.02.1997,Perugia-Milan,1-0
1996-1997,23.02.1997,Roma-Reggiana,2-2
1996-1997,23.02.1997,Vicenza-Piacenza,1-1
1996-1997,02.03.1997,Atalanta-Perugia,2-2
1996-1997,01.03.1997,Juventus-Vicenza,2-0
1996-1997,01.03.1997,Lazio-Fiorentina,1-0
1996-1997,02.03.1997,Milan-Roma,1-1
1996-1997,02.03.1997,Parma-Cagliari,3-2
1996-1997,01.03.1997,Piacenza-Inter,0-3
1996-1997,02.03.1997,Sampdoria-Bologna,1-2
1996-1997,02.03.1997,Udinese-Napoli,2-2
1996-1997,02.03.1997,Verona-Reggiana,2-4
1996-1997,09.03.1997,Atalanta-Sampdoria,4-0
1996-1997,09.03.1997,Cagliari-Lazio,0-0
1996-1997,09.03.1997,Fiorentina-Bologna,3-2
1996-1997,09.03.1997,Inter-Juventus,0-0
1996-1997,09.03.1997,Napoli-Milan,0-0
1996-1997,09.03.1997,Perugia-Parma,1-2
1996-1997,09.03.1997,Reggiana-Piacenza,0-0
1996-1997,09.03.1997,Roma-Verona,4-3
1996-1997,09.03.1997,Vicenza-Udinese,2-0
1996-1997,16.03.1997,Bologna-Napoli,2-1
1996-1997,16.03.1997,Cagliari-Vicenza,2-1
1996-1997,15.03.1997,Juventus-Roma,3-0
1996-1997,16.03.1997,Lazio-Atalanta,3-2
1996-1997,15.03.1997,Milan-Fiorentina,2-0
1996-1997,15.03.1997,Parma-Inter,1-0
1996-1997,16.03.1997,Sampdoria-Reggiana,3-0
1996-1997,16.03.1997,Udinese-Perugia,2-1
1996-1997,16.03.1997,Verona-Piacenza,0-0
1996-1997,23.03.1997,Atalanta-Milan,0-2
1996-1997,23.03.1997,Fiorentina-Parma,1-0
1996-1997,23.03.1997,Inter-Verona,2-1
1996-1997,23.03.1997,Napoli-Juventus,0-0
1996-1997,23.03.1997,Perugia-Cagliari,3-2
1996-1997,23.03.1997,Piacenza-Sampdoria,2-2
1996-1997,23.03.1997,Reggiana-Udinese,0-0
1996-1997,23.03.1997,Roma-Bologna,1-1
1996-1997,23.03.1997,Vicenza-Lazio,0-2
1996-1997,06.04.1997,Bologna-Reggiana,3-2
1996-1997,06.04.1997,Cagliari-Roma,2-1
1996-1997,05.04.1997,Fiorentina-Inter,0-0
1996-1997,06.04.1997,Lazio-Piacenza,2-0
1996-1997,06.04.1997,Milan-Juventus,1-6
1996-1997,06.04.1997,Parma-Sampdoria,3-0
1996-1997,06.04.1997,Perugia-Napoli,1-1
1996-1997,06.04.1997,Udinese-Atalanta,2-0
1996-1997,06.04.1997,Vicenza-Verona,0-0
1996-1997,13.04.1997,Atalanta-Bologna,1-1
1996-1997,13.04.1997,Inter-Milan,3-1
1996-1997,13.04.1997,Juventus-Udinese,0-3
1996-1997,13.04.1997,Napoli-Cagliari,1-1
1996-1997,13.04.1997,Piacenza-Fiorentina,1-1
1996-1997,13.04.1997,Reggiana-Vicenza,0-0
1996-1997,13.04.1997,Roma-Parma,0-1
1996-1997,13.04.1997,Sampdoria-Lazio,1-0
1996-1997,13.04.1997,Verona-Perugia,2-0
1996-1997,19.04.1997,Bologna-Juventus,0-1
1996-1997,19.04.1997,Cagliari-Inter,1-2
1996-1997,19.04.1997,Fiorentina-Roma,2-1
1996-1997,20.04.1997,Lazio-Reggiana,6-1
1996-1997,20.04.1997,Milan-Piacenza,0-0
1996-1997,20.04.1997,Napoli-Atalanta,0-1
1996-1997,20.04.1997,Parma-Udinese,0-2
1996-1997,20.04.1997,Sampdoria-Verona,0-0
1996-1997,20.04.1997,Vicenza-Perugia,4-1
1996-1997,04.05.1997,Atalanta-Parma,1-2
1996-1997,03.05.1997,Inter-Vicenza,0-1
1996-1997,04.05.1997,Juventus-Sampdoria,0-0
1996-1997,04.05.1997,Perugia-Fiorentina,1-1
1996-1997,04.05.1997,Piacenza-Bologna,1-1
1996-1997,04.05.1997,Reggiana-Cagliari,0-3
1996-1997,04.05.1997,Roma-Lazio,1-1
1996-1997,04.05.1997,Udinese-Milan,1-1
1996-1997,04.05.1997,Verona-Napoli,2-0
1996-1997,11.05.1997,Bologna-Cagliari,3-0
1996-1997,11.05.1997,Fiorentina-Udinese,2-3
1996-1997,11.05.1997,Lazio-Perugia,4-1
1996-1997,11.05.1997,Milan-Reggiana,3-1
1996-1997,11.05.1997,Napoli-Roma,1-0
1996-1997,11.05.1997,Parma-Vicenza,3-0
1996-1997,11.05.1997,Piacenza-Atalanta,3-1
1996-1997,11.05.1997,Sampdoria-Inter,1-2
1996-1997,11.05.1997,Verona-Juventus,0-2
1996-1997,15.05.1997,Atalanta-Roma,0-4
1996-1997,15.05.1997,Cagliari-Fiorentina,4-1
1996-1997,15.05.1997,Inter-Reggiana,3-1
1996-1997,15.05.1997,Juventus-Piacenza,4-1
1996-1997,15.05.1997,Lazio-Napoli,3-2
1996-1997,15.05.1997,Parma-Milan,1-1
1996-1997,15.05.1997,Perugia-Bologna,5-1
1996-1997,15.05.1997,Udinese-Verona,3-0
1996-1997,15.05.1997,Vicenza-Sampdoria,1-1
1996-1997,18.05.1997,Bologna-Vicenza,0-0
1996-1997,18.05.1997,Juventus-Parma,1-1
1996-1997,18.05.1997,Milan-Lazio,2-2
1996-1997,18.05.1997,Napoli-Fiorentina,2-2
1996-1997,18.05.1997,Piacenza-Cagliari,1-1
1996-1997,18.05.1997,Reggiana-Perugia,1-4
1996-1997,18.05.1997,Roma-Inter,1-1
1996-1997,18.05.1997,Sampdoria-Udinese,4-0
1996-1997,18.05.1997,Verona-Atalanta,1-1
1996-1997,23.05.1997,Atalanta-Juventus,1-1
1996-1997,25.05.1997,Cagliari-Sampdoria,3-4
1996-1997,25.05.1997,Fiorentina-Reggiana,3-0
1996-1997,25.05.1997,Inter-Napoli,3-2
1996-1997,25.05.1997,Lazio-Verona,4-1
1996-1997,25.05.1997,Parma-Bologna,1-0
1996-1997,25.05.1997,Perugia-Roma,2-0
1996-1997,25.05.1997,Udinese-Piacenza,4-0
1996-1997,25.05.1997,Vicenza-Milan,2-0
1996-1997,01.06.1997,Bologna-Inter,2-2
1996-1997,01.06.1997,Juventus-Lazio,2-2
1996-1997,01.06.1997,Milan-Cagliari,0-1
1996-1997,01.06.1997,Napoli-Vicenza,1-0
1996-1997,01.06.1997,Piacenza-Perugia,2-1
1996-1997,01.06.1997,Reggiana-Atalanta,0-3
1996-1997,01.06.1997,Roma-Udinese,0-3
1996-1997,01.06.1997,Sampdoria-Fiorentina,1-1
1996-1997,01.06.1997,Verona-Parma,1-2
1997-1998,31.08.1997,Atalanta-Bologna,4-2
1997-1998,31.08.1997,Bari-Parma,0-2
1997-1998,31.08.1997,Empoli-Roma,1-3
1997-1998,31.08.1997,Inter-Brescia,2-1
1997-1998,31.08.1997,Juventus-Lecce,2-0
1997-1998,31.08.1997,Lazio-Napoli,2-0
1997-1998,31.08.1997,Piacenza-Milan,1-1
1997-1998,31.08.1997,Sampdoria-Vicenza,2-1
1997-1998,31.08.1997,Udinese-Fiorentina,2-3
1997-1998,14.09.1997,Bologna-Inter,2-4
1997-1998,13.09.1997,Brescia-Sampdoria,3-3
1997-1998,14.09.1997,Fiorentina-Bari,3-1
1997-1998,13.09.1997,Lecce-Udinese,1-2
1997-1998,13.09.1997,Milan-Lazio,1-1
1997-1998,14.09.1997,Napoli-Empoli,2-1
1997-1998,14.09.1997,Parma-Atalanta,2-2
1997-1998,14.09.1997,Roma-Juventus,0-0
1997-1998,14.09.1997,Vicenza-Piacenza,3-2
1997-1998,21.09.1997,Atalanta-Sampdoria,0-2
1997-1998,21.09.1997,Bari-Bologna,0-0
1997-1998,21.09.1997,Empoli-Lazio,1-0
1997-1998,21.09.1997,Inter-Fiorentina,3-2
1997-1998,21.09.1997,Juventus-Brescia,4-0
1997-1998,21.09.1997,Piacenza-Parma,1-3
1997-1998,21.09.1997,Roma-Lecce,3-1
1997-1998,21.09.1997,Udinese-Milan,2-1
1997-1998,21.09.1997,Vicenza-Napoli,1-1
1997-1998,28.09.1997,Bologna-Roma,0-0
1997-1998,28.09.1997,Brescia-Piacenza,2-0
1997-1998,28.09.1997,Fiorentina-Empoli,1-2
1997-1998,27.09.1997,Lazio-Bari,3-2
1997-1998,27.09.1997,Lecce-Inter,1-5
1997-1998,28.09.1997,Milan-Vicenza,0-1
1997-1998,28.09.1997,Napoli-Atalanta,0-1
1997-1998,28.09.1997,Parma-Udinese,4-0
1997-1998,27.09.1997,Sampdoria-Juventus,1-1
1997-1998,05.10.1997,Atalanta-Brescia,0-1
1997-1998,05.10.1997,Empoli-Milan,0-1
1997-1998,05.10.1997,Inter-Lazio,1-1
1997-1998,05.10.1997,Juventus-Fiorentina,2-1
1997-1998,05.10.1997,Lecce-Bari,0-1
1997-1998,05.10.1997,Piacenza-Bologna,0-0
1997-1998,05.10.1997,Roma-Napoli,6-2
1997-1998,05.10.1997,Udinese-Sampdoria,3-2
1997-1998,05.10.1997,Vicenza-Parma,0-0
1997-1998,19.10.1997,Bari-Juventus,0-5
1997-1998,19.10.1997,Brescia-Vicenza,4-0
1997-1998,19.10.1997,Fiorentina-Roma,0-0
1997-1998,18.10.1997,Lazio-Atalanta,0-2
1997-1998,19.10.1997,Milan-Lecce,1-2
1997-1998,18.10.1997,Napoli-Inter,0-2
1997-1998,19.10.1997,Parma-Bologna,2-0
1997-1998,19.10.1997,Sampdoria-Piacenza,3-1
1997-1998,18.10.1997,Udinese-Empoli,2-2
1997-1998,02.11.1997,Atalanta-Vicenza,1-3
1997-1998,02.11.1997,Bologna-Napoli,5-1
1997-1998,02.11.1997,Empoli-Bari,2-3
1997-1998,01.11.1997,Inter-Parma,1-0
1997-1998,01.11.1997,Juventus-Udinese,4-1
1997-1998,02.11.1997,Lecce-Brescia,2-0
1997-1998,02.11.1997,Piacenza-Fiorentina,0-0
1997-1998,01.11.1997,Roma-Lazio,1-3
1997-1998,02.11.1997,Sampdoria-Milan,0-3
1997-1998,09.11.1997,Atalanta-Inter,1-2
1997-1998,09.11.1997,Bari-Roma,1-3
1997-1998,09.11.1997,Fiorentina-Lecce,5-0
1997-1998,09.11.1997,Lazio-Sampdoria,3-0
1997-1998,09.11.1997,Milan-Brescia,2-1
1997-1998,09.11.1997,Napoli-Juventus,1-2
1997-1998,09.11.1997,Parma-Empoli,2-0
1997-1998,09.11.1997,Udinese-Piacenza,2-0
1997-1998,09.11.1997,Vicenza-Bologna,3-2
1997-1998,23.11.1997,Bologna-Fiorentina,2-2
1997-1998,23.11.1997,Brescia-Udinese,0-4
1997-1998,23.11.1997,Empoli-Atalanta,1-0
1997-1998,22.11.1997,Inter-Milan,2-2
1997-1998,23.11.1997,Juventus-Parma,2-2
1997-1998,23.11.1997,Lecce-Napoli,2-0
1997-1998,22.11.1997,Piacenza-Lazio,0-0
1997-1998,23.11.1997,Roma-Vicenza,2-2
1997-1998,23.11.1997,Sampdoria-Bari,1-0
1997-1998,30.11.1997,Atalanta-Lecce,0-0
1997-1998,30.11.1997,Bari-Brescia,2-1
1997-1998,30.11.1997,Bologna-Sampdoria,2-2
1997-1998,30.11.1997,Empoli-Piacenza,2-3
1997-1998,30.11.1997,Lazio-Udinese,2-3
1997-1998,30.11.1997,Milan-Juventus,1-1
1997-1998,30.11.1997,Napoli-Fiorentina,1-1
1997-1998,30.11.1997,Parma-Roma,0-2
1997-1998,30.11.1997,Vicenza-Inter,1-3
1997-1998,07.12.1997,Brescia-Empoli,3-1
1997-1998,07.12.1997,Fiorentina-Parma,1-1
1997-1998,06.12.1997,Juventus-Lazio,2-1
1997-1998,07.12.1997,Lecce-Vicenza,0-1
1997-1998,07.12.1997,Milan-Bari,2-0
1997-1998,07.12.1997,Piacenza-Napoli,1-0
1997-1998,07.12.1997,Roma-Atalanta,3-0
1997-1998,06.12.1997,Sampdoria-Inter,1-1
1997-1998,07.12.1997,Udinese-Bologna,4-3
1997-1998,14.12.1997,Atalanta-Milan,1-2
1997-1998,14.12.1997,Bari-Udinese,0-0
1997-1998,14.12.1997,Bologna-Lecce,2-0
1997-1998,14.12.1997,Empoli-Sampdoria,4-1
1997-1998,14.12.1997,Inter-Roma,3-0
1997-1998,14.12.1997,Lazio-Brescia,1-0
1997-1998,14.12.1997,Napoli-Parma,0-4
1997-1998,14.12.1997,Piacenza-Juventus,1-1
1997-1998,14.12.1997,Vicenza-Fiorentina,1-5
1997-1998,21.12.1997,Bari-Piacenza,0-0
1997-1998,21.12.1997,Brescia-Roma,1-1
1997-1998,21.12.1997,Fiorentina-Atalanta,5-0
1997-1998,21.12.1997,Juventus-Empoli,5-2
1997-1998,21.12.1997,Lazio-Vicenza,4-0
1997-1998,21.12.1997,Milan-Bologna,0-0
1997-1998,21.12.1997,Parma-Lecce,2-1
1997-1998,21.12.1997,Sampdoria-Napoli,6-3
1997-1998,21.12.1997,Udinese-Inter,1-0
1997-1998,04.01.1998,Atalanta-Piacenza,2-2
1997-1998,04.01.1998,Bologna-Brescia,2-1
1997-1998,04.01.1998,Fiorentina-Sampdoria,1-1
1997-1998,04.01.1998,Inter-Juventus,1-0
1997-1998,04.01.1998,Lecce-Empoli,2-2
1997-1998,04.01.1998,Napoli-Milan,1-2
1997-1998,04.01.1998,Parma-Lazio,1-1
1997-1998,04.01.1998,Roma-Udinese,1-2
1997-1998,04.01.1998,Vicenza-Bari,1-2
1997-1998,11.01.1998,Bari-Atalanta,0-0
1997-1998,11.01.1998,Brescia-Fiorentina,1-3
1997-1998,11.01.1998,Empoli-Bologna,0-0
1997-1998,11.01.1998,Juventus-Vicenza,2-0
1997-1998,11.01.1998,Lazio-Lecce,4-0
1997-1998,11.01.1998,Milan-Roma,0-0
1997-1998,11.01.1998,Piacenza-Inter,0-1
1997-1998,11.01.1998,Sampdoria-Parma,5-2
1997-1998,11.01.1998,Udinese-Napoli,1-1
1997-1998,18.01.1998,Atalanta-Udinese,1-1
1997-1998,18.01.1998,Bologna-Juventus,1-3
1997-1998,18.01.1998,Fiorentina-Lazio,1-3
1997-1998,18.01.1998,Inter-Bari,0-1
1997-1998,18.01.1998,Lecce-Sampdoria,1-3
1997-1998,18.01.1998,Napoli-Brescia,0-3
1997-1998,18.01.1998,Parma-Milan,3-1
1997-1998,18.01.1998,Roma-Piacenza,1-1
1997-1998,18.01.1998,Vicenza-Empoli,1-0
1997-1998,25.01.1998,Bari-Napoli,2-0
1997-1998,25.01.1998,Brescia-Parma,2-1
1997-1998,25.01.1998,Empoli-Inter,1-1
1997-1998,25.01.1998,Juventus-Atalanta,3-1
1997-1998,25.01.1998,Lazio-Bologna,1-0
1997-1998,25.01.1998,Milan-Fiorentina,0-2
1997-1998,25.01.1998,Piacenza-Lecce,1-0
1997-1998,25.01.1998,Sampdoria-Roma,1-1
1997-1998,25.01.1998,Udinese-Vicenza,3-0
1997-1998,01.02.1998,Bologna-Atalanta,0-0
